N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
027C;FUNDACIÓN UNIVERSITAT JAUME I -EMPRESA DE LA COMUNITAT VALENCIANA;;FUNDACIÓN UNIVERSIDAD JAUME I -EMPRESA DE LA COMUNIDAD VALENCIANA;;htptp://www.fue.uji.es;juridico@fue.uji.es;Edificio Consell Social de la Universitat Jaume I, Campus de Riu Sec, Avda. Sos Baynat s/n;;12;CASTELLÓN;CASTELLÓN;12005;964 387 222. 964 387 202;964.72.91.56;G-12366993;1994/05/19 00:00:00.000;;;42;;;Promover y fomentar la investigación científica y la docencia universitaria en todos los ámbitos relacionados con la Universidad Jaume I y su entorno socio-económico, mediante la realización de proyectos de investigación, desarrollo y asesoría, concetados en la Universitat Jaume I y la empresa pirvada o la administración autonómica, estatal o comunitaria, que impliquen o no además la participación de empresas privadas o de otros centros de investigación de la Comunidad Europea, como así consta en el art. 3º de los Estatutos de la Fundación.
028A;FUNDACIÓN JAIME CREMADES;;;;;;Plaza del Convento, 2;;3;XIXONA;ALICANTE;3100;561 01 53;;G03082047;1978/05/31 00:00:00.000;;;11;;;Artículo 2. FINALIDAD DE LA FUNDACIÓN. 2.1. La finalidad de la Fundación es:. a.- La construcción y mantenimiento de una Escuela Infantil, para la custodia y cuidado de menores de seis años, y potestativamente la educación preescolar de los mismos, así como de aquellos niños menores de 6 años que bien por su situación socio-familiar, bien por sus características personales específicas, requieran una atención especializada a través de las modalidades, servicios y programas que el Patronato de la Fundación determine, bajo la tutela del Protectorado que ejerce la Generalitat Valenciana.. b.- La atención, cuidado de personas mayores o de personas que se encuentren afectadas por algún tipo de discapacidad, y que bien por su situación socio-familiar, bien por sus características personales específicas, requieran una atención especializada, a través de las modalidades, servicios y programas que el Patronato de la Fundación determine, bajo la tutela del Protectorado que ejerce la Generalitat Valenciana.
028C;FUNDACIÓN MUSEU-ARXIU DE LA TARONJA;;;;www.ctv.es/USERS/museonaranja;museonaranja@ctv.es;Mayor, 10;;12;BURRIANA;CASTELLÓN;12530;964 51 54 15;964 51 54 15;G-12376091;1994/06/01 00:00:00.000;;;34;;;Estudiar y difundir la historia de la economía citrícola, recogiendo, catalogando y conservando los documentos, objetos, imágenes y cualquier otro elemento producido por esta actividad a lo largo de los dos últimos siglos.- También tiene por finalidad la creaciòn de un Museo y un Archivo para exhibir los fondos que sirvan, aparte de para conservar y transmitir la cultura generada en torno a la naranja para rendir homenaje de gratitud, a las generaciones de hombres y mujeres que con su esfuerzo y sacrificio hicieron posible la creación, consolidación y expansión de la citricultura, especialmente en el ámbito valenciano.
028V;FUNDACIÓN SUPRIMIDO COLEGIO DE SAN PABLO DE NA MONFORTA;;;;;46012872@gva.es;"Calle de San Pablo, 4 (Instituto ""Luis Vives"")";;46;VALÈNCIA;VALÈNCIA;46002;96-120-59-45;;;1924/11/10 00:00:00.000;;;41;;;Un tercio de becas para alumnos de enseñanza media que cursen sus estudios oficiales en el Instituto Luis Vives, o como internos en colegios legalmente reconocidos dirigidos por órdenes religiosas, y los dos tercios restantes para la Escuela de Artesanos de Valencia, de esta la mitad se destinará a dos becas, de igual cuantía a la que se establezca para Enseñanzas Medias, con el fin de que los más aptos y necesitados puedan cursar estudios en la Escuela de Peritos Industriales y en las de Artes y Oficios Artisticos.
029C;FUNDACIÓN DE LA COMUNIDAD VALENCIANA ELS PORTS I EL MAESTRAT;;;;;;Sede: Fábrica Giner, Carretera Alcorista Km. 4, Oficinas: Pl. de San Miguel, 3;;12;MORELLA;CASTELLÓN;12300;964 17 31 17 (Oficinas);964 17 31 31;G12380242;1994/11/21 00:00:00.000;;;50;;;a) Impulsar y evaluar las actuaciones de recuperación y mejora ecológica en el territorio de acción preferente.- b) Elaborar un programa de inversiones para financiar proyectos espcíficos que comporten una mejora de la infraestructura y de los servicios generales en el territorio de acción preferente, de nulo o escaso impacto ambiental.- c) Dinamizar la promoción económica del territorio de acción preferente, mediante los correspondientes programas sectoriales a los que se vincularán los diferentes organismos e instituciones de la Generalitat Valenciana, y en su caso, de la Administración Central.- d) Estudio y aplicación, en su caso, de tecnologías de ahorro, eficacia energética y energía renovable que permitan que el territorio de acción preferente tienda a la autosuficiencia en sus requerimientos energéticos.- A los efectos de los estatutos, y de cuanto de ellos se derive, se entenderá por territorio de acción preferente los términos municipales de Ares del Maestre, Castell de Cabres, Puebla de Benifasar, Castellfort, Cinctorres, Forcall, Herbes,  Villores, Zorita del Maestrazgo, Palanque, Morella, La Mata, Tolodella, Olocau del Rey, Portell de Morella, Vallibona, La Cènia, Benasal, Catí, Chert, Atzeneta del Maestrat, Culla, Cortes de Arenoso, Albocàcer, Sant Mateu, Vilafranca y Tirig.
029V;FUNDACIÓN INSTITUTO-ASILO DE SAN JOAQUÍN DE LA COMUNITAT VALENCIANA;;;;;fundacionasilosanjoaquin@gmail.com.-NOT.  Antonio Vicente Ineba 22658644X. aineba@icav.es.;Calle la Sangre, nº 7-11ª;;46;VALÈNCIA;VALÈNCIA;46002;696658637 Antonio Ineba;;G46091195;1925/12/07 00:00:00.000;;;41;;;(art. 6) Es objeto exclusivo de la Fundación, el cual nunca podrá bajo ningún pretexto alterarse, dar una educación sólidamente cristiana, católica, apostólica y romana, y al mismo tiempo asistencial y social, a todas las personas que lo necesiten.
030V;FUNDACIÓN CAROLINA SANCHIS;;;;;;Calle de San Agustín, 5 - 7;;46;XÀTIVA;VALÈNCIA;46800;;;;1944/07/19 00:00:00.000;;;41;;;Enseñanza cristiana gratuita para niños pobres, regidos por religiosas franciscanas, además de la intrucción religiosa se les enseñará uno o dos oficios.
031A;FUNDACIÓN DE LA COMUNITAT VALENCIANA MUSEO DEL JUGUETE DE IBI;;FUNDACIÓ MUSEU VALENCIANO DEL JOGUET;;;info@museojuguete.com;Plaza Nicolás Payá, nº 2;;3;IBI;ALICANTE;3440;96 655 02 26;;G03334216;1987/08/11 00:00:00.000;;;34;;;"Artículo 6.- Fines y Actividades.- La Fundación tiene como principal objetivo la protección, el acrecentamiento y la trasmisión a las generaciones futuras, de los conocimientos y las actividades que han sido expresión relevante de la cultura y la técnica laboral y tradicional del juguete en la Comunitat Valenciana a fin de que sirva de homenaje, testimonio constante e impulso permanente al esfuerzo de los creadores, trabajadores y empresarios de la Industria del juguete.. 2.- De igual modo la Fundación tiene por objeto el fomento, promoción y divulgación de la música y las artes escénicas mediante la celebración de representaciones musicales, teatrales, danza y otras representaciones análogas de carácter artístico, así cuantas acciones de carácter cultural, educativo y de otra índole tengan relación con ello y con las actividades a desarrollar en los inmuebles de naturaleza cultural, social, o artística de Ibi ( tales como organización de simposios, exposiciones, conferencias de carácter sociocultural…).. 3.- Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones se otorgarán de forma no lucrativa.. 4.-  El desarrollo del objeto de la Fundación se efectuará a través de alguna de las formas siguientes de actuación:. a)	la conservación, catalogación, restauración y exhibición ordenada de las colecciones del Museo del juguete.. b)	La investigación en el ámbito de sus colecciones y de su especialidad.. c)	la organización periódica de exposiciones científicas y divulgativas acordes con la naturaleza del Museo.. d)	La elaboración y publicación de sus catálogos y monografías de sus fondos.. e)	El desarrollo de una actividad didáctica respecto a sus contenidos.. f)	Exposición y divulgación de la música y de las Artes Escénicas, especialmente de aquellas que cuenten con un mayor arraigo y tradición en la Comunitat Valkenciana.. g)	La realización de actividades, actuaciones divulgativas o proyectos de todo tipo, tendentes a la difusión, fomento, divulgación de la música y las artes escénicas.. h)	Apoyo y contribución al conocimiento, utilización y puesta en valor de los inmuebles de naturaleza cultural o análoga patrimonio del municipio de Ibi, promoviendo cuantas acciones divulgativas resulten necesarias a tal fin.. i)	Fomento e impulso de la participación directa e indirecta en las actividades o proyectos a desarrollar por la Fundación de cuales quiera de las personas naturales o jurídicas, públicas o privadas."
032V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA ESCUELAS DEL AVE MARÍA;;;;;avemariacar@planalfa.es;Calle de Baronesa Santa Bárbara, 25;;46;CARCAIXENT;VALÈNCIA;46740;962430497;;G46729281;1944/10/16 00:00:00.000;;;41;;;La Fundación tiene por objeto la enseñanza y la educación cristianas según los principios de la Fe Católica, Apostólica y Romana.
033V;FUNDACIÓN DE LA COMUNITAT  VALENCIANA COLEGIO-ASILO DE LA INMACULADA CONCEPCIÓN;;;BOU;;administracion@iccullera.com;Carrer de Baix 22;;46;CULLERA;VALÈNCIA;46400;609 605 279    649 252 066;;R4600020D;1912/09/30 00:00:00.000;;;41;;;La Fundación tiene corno fines: - Admitir, atender. y educar a niñas o niños huérfanos o en precaria situación familiar, nacidos o residentes en Cullera, junto a los demás niños y niñas admitidos en el Colegio Inmaculada Concepción según la legalidad vigente. - Dotar las becas y ayudas necesarias, que la Fundación estime oportuna. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este articulo. Las prestaciones de la Fundación se otorgaran de forma no lucrativa,
034A;FUNDACIÓN EMPRESA UNIVERSIDAD DE ALICANTE DE LA COMUNIDAD VALENCIANA;;;FUNDEUN;;fundeun@ua.es  mariaangeles.rodriguez@ua.es  rafael.lafont@ua.es  secretariapatronato.fundeun@ua.es;Campus Universitario de Alicante - Edificio Germán Bernacer;;3;SANT VICENT DEL RASPEIG;ALICANTE;3690;965 90 36 90;;G03442795;1990/03/22 00:00:00.000;;;21;;;La Fundación tiene por objeto: A) Con carácter general: 1. El fomento y desarrollo de cauces de conocimiento y diálogo entre las Empresas de esta provincia y la comunidad universitaria de la Provincia de Alicante. 2. La transferencia de tecnología de la Universidad de Alicante, divulgando y promoviendo la investigación científica y la docencia universitaria en todos los ámbitos relacionados con la Universidad de Alicante y al servicio de la sociedad en que ésta se inserta. Potenciar las transferencias de tecnología mediante la participación por sí o por medio de otras instituciones en empresas de todo tipo para la utilización, difusión y comercialización de dicha tecnología 3. El estudio de los canales de cooperación entre las Empresas y la Universidad de Alicante, con el fin de que su conocimiento mutuo contribuya, por una parte, a resolver la problemática de las Empresas respecto a la formación de sus dirigentes, del personal de empresa y de los profesionales y el desarrollo de la Investigación Técnica Aplicada y, por otra parte, a que la Universidad esté informada de las necesidades de las Empresas a los efectos de potenciar la adecuación de la reforma y actualización de la enseñanza técnica general y los futuros planes de estudio. 4. La promoción, protección, fomento y difusión de estudios e investigaciones conjuntas entre la Universidad y las Empresas, que permitan conocer los problemas reales de las mismas con el fin de fijar objetivos comunes y ofrecer soluciones eficaces. 5. La actuación como Centro de Infom1ación y Coordinación para las Empresas que deseen establecer relaciones específicas con la Universidad, sobre temas diversos como la promoción de estudios, la realización de contratos de investigación, el ofrecimiento de becas, la selección y perfeccionamiento de personal, entre otros. 6. La defensa ante la Sociedad del espíritu de colaboración, comunicación y diálogo satisfactorio y permanente entre Universidad y Empresa, mediante el examen conjunto de los problemas propios de ambas Instituciones, o que afecten a la Sociedad en general y respecto de los cuales la Fundación juzgue conveniente elaborar ideas comunes y actuaciones conjuntas. 7. El establecimiento de relaciones con instituciones públicas o privadas cuyos objetivos sean afines a los de esta Fundación. B) En particular: 1. La promoción de Cátedras, Enseñanzas, Seminarios y Laboratorios. 2. La dotación de ayudas a la investigación, dentro o fuera de la Universidad, y de bolsas de viaje con este mismo fin. 3. La realización de acciones formativas que mejoren la cualificación profesional de los Recursos Humanos de las empresas.4. La organización de programas concretos de becas de estudio o investigación 5. La convocatoria de premios para trabajos específicos y determinados. 6. La edición de trabajos específicos para las empresas o entidades públicas o privadas, que así lo soliciten. 7. Cualesquiera otras actividades al margen de las citadas, que igualmente cooperen a los fines de la Fundación.--------
034C;FUNDACIÓN DON JAIME VIVES DE LA COMUNITAT VALENCIANA;;;;;info@aresdelmaestrat.es;Plaça de L'Esglesia, nº 1;;12;ARES DEL MAESTRAT;CASTELLÓN;12165;964 44 30 64 964 44 30 74;;;1959/01/15 00:00:00.000;;;40;;;De acuerdo con aquello indicado en el testamento del fundador D. Jaime Vives Puig, en su cuyo original esta depositado en el archivo Parroquial de Benasal (Castelló), y más en concreto, en su claúsula 18, esta Fundación tiene como objeto: Para la distribución entre estudiantes y pobres del legado del producto de mis bienes, así como para el pago de los aniversarios en la forma que indico en las respectivas claúsulas anteriores.
034V;FUNDACIÓN ALBERT ÁLVAREZ DASI;;;;;;Calle de Museo, 2;;46;VALÈNCIA;VALÈNCIA;46003;;;;1961/03/13 00:00:00.000;;2011/11/17 00:00:00.000;41;;;Beca anual destinada a los alumnos de Bellas Artes de San Carlos para ampliar estudios en el  extranjero. Se distribuirán el primer año para pintura, el segundo año para escultura, el tercer año para grabado calcográfico, el cuarto año no se otorgará ninguna y el importe pasará a incrementar el capital, hasta que existan unas becas anuales de 25.000 ptas.
035A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA PATRONATO DE LA SANTA CRUZ;;;;;secretaria@hermandadsantacruzalicante.com;Calle de San Rafael, 12;;3;ALICANTE;ALICANTE;3002;647993754;;;1990/05/10 00:00:00.000;;;30;;;(art. 2) Con relación a sus fines, el Patronato de la Santa Cruz llevará a cabo labores de fomento de la cultura, el deporte, obras sociales, conservación y mejora urbanística, cuidado y mantenimiento de la tipicidad del Barrio de la Santa Cruz, potenciando con ello el civismo entre su población, entendiendo por ello el fomento del celo a las instituciones e intereses del Barrio de la Santa Cruz, propiamente dicho y aledaños.
036A;FUNDACIÓ FRANCESC EIXIMENIS DE LA COMUNITAT VALENCIANA;;;;;;Carrer Sant Ferran, 10;;46;VALÈNCIA;VALÈNCIA;46001;96 351 65 70;;G46648655;1990/05/17 00:00:00.000;;;30;;;(art. 5) Els objectes i les activitats de la Fundació és promoure la cultura del país Valencià en totes les seues vessants: arts escèniques, arts musicals, literatura, lingüística, ciències, etc. Per a aixó podrà: 1.- Atorgar borses, premis i ajuts de recerca i promoure treballs d'estudi de qualsevol tipus, dintre els seus objectiud, i portar-ho a terme al nostre País Valencià o a qualsevol altre lloc de l'estat o de l'estranger, per ella sola o en correspondència amb altres institucions similars. 2.- La divulgació per ella mateixa o mitjançant empresa editora o mitjans de comunicació dels treballs i estudis referits adés i aquells altres que es relacionen amb els objectius de la Fundació. 3.- L'organització de conferències, simposis, taues rodones, seminaris, cursos i qualsevol altre tipus de reunions sobre els temes indicats, com tambè intercanvis amb col.laboradors d'entitats culturals d'àmbit semblant. 4.- La prestació de qualsevol altre tipus d'assistència, ajuda o activitat anàloga o complementària a les anteriors, dintre el seu àmbit de competències. 5.- Els objectiud anteriorment relacionats tenen un caràcter simplement enunciatiu, i l'ordre d'enunciació dels objectes de la Fundació no pressuposa l'obligatorietat d'atendre'ls tots ni tampoc cap prelació entre aquests. 6.- Per tal d'alicar les rendes a les activitats enunciades com a objecte fundacional, la Fundació finançzrá i promourà: a) L'edició i la publicació d'obres, fullets i publicacions periòdiques, així com el funcionament de qualsevol altre mitjà de comunicació. b) L'establiment de premis o ajuts a les recerques. c) Els viatges a l'estranger dels becats per a la Fundació i les estades. d) La contractació de professionals per al desenvolupament de les seues activitats citades adés. e) La satisfacció de borses i despeses de viatge a aquells que s'inscriguen als cursos i a les activitats que es desenvolupen a la seu social, tot fomentat la vinguda de persones de la perifèria a la seu social. f) L'organització de conferències, cursos, simposis, taules rodones i qualsevol altra mena de reunions sobre els temes indicats com a objecte fundacional. g) La divulgació de les conclusions dels estudis i treballs sobre els temes ja citats com a objecte de la Fundació. H) La prestació de qualsevol altre ajut protector anàleg o semblant als indicats, dins l'àmbit de competència de la Fundació.
